GroupName,ChartName,USL,LSL,UCL,LCL,Target,Mean,Std,point_time,Batch_ID,cpk,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9907,0.2673,2025/01/01 08:00,LOT0001,1.2356,5.0914,4.688,5.2251,5.2822,4.4147,4.6093,5.0384,4.9051,4.995,4.7441,5.2638,5.2333,5.0198,5.3382,5.1403,4.7422,5.1106
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,5.0254,0.2412,2025/01/01 20:00,LOT0002,1.3467,4.7123,5.2635,4.985,4.9445,4.7957,5.3668,4.9536,4.8715,4.8944,5.1597,5.1096,5.1238,5.1292,5.6425,4.8781,4.8463,4.7559
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,5.0695,0.1731,2025/01/02 08:00,LOT0003,1.7916,5.1848,5.3387,4.9658,4.748,4.7527,5.1952,5.223,5.1629,4.8003,5.0696,5.035,5.0656,5.2614,5.0671,5.2037,5.0203,5.0867
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9734,0.2587,2025/01/02 20:00,LOT0004,1.254,5.1894,4.5629,4.9041,4.8589,4.8083,4.9175,5.4485,4.7403,5.2905,4.4951,4.8995,5.0488,5.1759,5.2134,5.238,4.8954,4.8613
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9395,0.2072,2025/01/03 08:00,LOT0005,1.5115,5.2574,4.9426,4.6173,4.66,4.7242,5.1491,5.0427,5.2071,4.8718,5.0476,5.1877,4.9072,5.137,4.8014,4.8911,4.8855,4.6412
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9291,0.2496,2025/01/03 20:00,LOT0006,1.241,5.1461,4.8592,5.0037,5.1442,5.134,5.1996,4.9705,4.873,4.9761,4.4938,4.5659,4.6032,4.7008,5.1199,4.7284,4.8866,5.3898
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9488,0.2531,2025/01/04 08:00,LOT0007,1.2494,4.8931,5.2213,4.7199,4.9384,4.715,4.8983,5.2521,4.4818,5.1303,5.0713,4.8218,4.5662,5.0216,4.8412,5.0698,5.0066,5.4805
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9392,0.2774,2025/01/04 20:00,LOT0008,1.1287,4.9282,4.693,5.0538,5.066,5.4078,5.2505,5.1071,5.439,4.6434,4.8081,4.722,4.8831,4.587,5.1905,4.9333,4.5588,4.6953
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,4.9999,0.3775,2025/01/05 08:00,LOT0009,0.8829,5.0941,5.2514,5.599,5.8742,5.1243,4.7031,4.3604,5.0803,4.7561,4.8754,4.8164,4.9578,5.3198,5.0471,4.9524,4.6893,4.4976
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,5.0234,0.2916,2025/01/05 20:00,LOT0010,1.1162,4.8541,4.9839,5.5304,5.0391,5.2948,4.8502,4.6445,4.7105,4.7824,5.6385,4.7536,5.2515,4.7291,5.2795,5.1155,4.953,4.9878
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,5.0579,0.2566,2025/01/06 08:00,LOT0011,1.2239,4.8036,5.1338,4.8635,4.6323,4.6166,5.0518,5.4737,5.048,4.9644,5.0857,5.3918,5.0658,4.8767,5.3319,5.1286,5.4607,5.055
PKG_A,Thickness,6.0,4.0,5.9,4.1,5.0,5.0395,0.3021,2025/01/06 20:00,LOT0012,1.0597,4.6327,4.5896,5.4953,5.5171,4.9461,4.885,5.4384,4.6679,4.7316,5.193,4.8816,4.9985,4.951,5.1013,5.4222,5.0272,5.1932
